CGFour:
Cell: [42] (-64.8623, 146.75362, -37.8497); node id: 6
Cell: [43] (31.789536, 82.73212, -6.7743454); node id: 7
Cell: [44] (15.011635, 88.65691, -75.704865); node id: 0
Cell: [45] (40.766937, 31.82919, -18.423904); node id: 1
Cell: [46] (-32.796944, 144.34196, 27.150604); node id: 2
Cell: [47] (-22.39119, 133.77594, -2.640915); node id: 3
Cell: [48] (32.742813, 103.10046, 12.442566); node id: 4
Cell: [49] (10.045959, 114.70971, 85.85994); node id: 5
Cell: [50] (-44.03851, 28.267204, -31.342278); node id: 6
Cell: [51] (-57.22207, 129.12599, -17.796074); node id: 7
Cell: [52] (12.162758, 127.24311, 59.109207); node id: 0
Cell: [53] (17.343292, 45.95219, -65.74684); node id: 1
Cell: [54] (-46.811546, 155.12178, 12.902321); node id: 2
Cell: [55] (37.043777, 51.907135, -51.529358); node id: 3
Cell: [56] (-37.11126, 114.461586, -79.50522); node id: 4
Cell: [57] (57.877396, 117.54727, 65.12875); node id: 5
Cell: [58] (57.05432, 86.277565, 59.833603); node id: 6
Cell: [59] (-52.98127, 158.66754, -26.737); node id: 7
Cell: [60] (13.253769, 177.72551, 16.20681); node id: 0
Cell: [61] (-22.043953, 135.01959, 72.91075); node id: 1
Cell: [62] (-53.448795, 119.15287, 3.4884567); node id: 2
Cell: [63] (-3.7884445, 121.59891, -67.81348); node id: 3
Cell: [64] (18.122948, 98.47018, -28.683517); node id: 4
Cell: [65] (-21.862259, 69.6154, -36.351513); node id: 5
Cell: [66] (72.41382, 92.98388, 41.552277); node id: 6
Cell: [67] (7.7869873, 41.96435, 15.287674); node id: 7
Cell: [68] (27.747711, 132.6201, 77.5764); node id: 0
Cell: [69] (53.796555, 86.265144, 6.046509); node id: 1
Cell: [70] (7.508995, 53.02962, 22.084549); node id: 2
Cell: [71] (55.6752, 112.103546, -52.41518); node id: 3
Cell: [72] (3.7130814, 94.678734, 66.285645); node id: 4
Cell: [73] (-1.2413635, 177.79752, -1.5067139); node id: 5
Cell: [74] (57.332, 133.47318, 53.04184); node id: 6
Cell: [75] (-8.123169, 124.354645, -3.7779007); node id: 7
Cell: [76] (-66.73404, 130.40747, -47.303474); node id: 0
Cell: [77] (-5.744377, 57.490505, -22.29663); node id: 1
Cell: [78] (-64.196014, 123.30376, -17.06482); node id: 2
Cell: [79] (17.912003, 168.42807, 26.199707); node id: 3
Cell: [80] (-18.569374, 69.168365, -5.484352); node id: 4
Cell: [81] (-22.934868, 89.21259, 58.42653); node id: 5
Cell: [82] (-35.112083, 126.490875, -7.6149445); node id: 6
Cell: [83] (44.233597, 45.79724, -26.524376); node id: 7
Cell: [84] (-47.359814, 99.63051, 6.8365936); node id: 0
Cell: [85] (8.507408, 152.36339, 51.754242); node id: 1
Cell: [86] (25.757622, 163.64584, -13.856125); node id: 2
Cell: [87] (29.82486, 97.11622, 75.50662); node id: 3
Cell: [88] (-55.76396, 61.21913, 5.449852); node id: 4
Cell: [89] (31.893845, 61.728905, -57.90881); node id: 5
Cell: [90] (1.8775482, 36.238815, 6.9968796); node id: 6
Cell: [91] (15.03289, 86.30463, 56.639664); node id: 7
Cell: [92] (82.93733, 68.4664, 6.3889847); node id: 0
Cell: [93] (77.1015, 105.793465, 35.974167); node id: 1
Cell: [94] (-21.0029, 110.66261, 85.63229); node id: 2
Cell: [95] (-18.678703, 88.91667, -51.570724); node id: 3
Cell: [96] (-35.92801, 89.61679, 49.763046); node id: 4
Cell: [97] (25.01867, 166.39272, -55.07865); node id: 5
Cell: [98] (-17.763687, 175.22168, -17.917862); node id: 6
Cell: [99] (-53.802036, 46.153473, -29.917297); node id: 7
SampleCellGroup:
Cell: [0] (46.06977, 19.331589, 89.66523); node id: 0
Cell: [1] (48.51874, 14.063925, 73.895836); node id: 1
Cell: [2] (53.211002, 10.648395, 47.342403); node id: 2
Cell: [3] (47.18734, 13.6757145, 15.7361145); node id: 3
Cell: [4] (24.250984, 14.767789, 22.189743); node id: 4
Cell: [5] (84.68187, 18.72762, 20.370918); node id: 5
Cell: [6] (48.314297, 14.316806, 62.09705); node id: 6
Cell: [7] (33.117287, 10.016985, 64.27904); node id: 7
Cell: [8] (35.56698, 12.228278, 32.07875); node id: 0
Cell: [9] (48.172443, 17.549885, 70.18882); node id: 1
Cell: [10] (62.472374, 10.506228, 55.61497); node id: 2
Cell: [11] (69.13348, 17.88589, 18.500048); node id: 3
Cell: [12] (23.477358, 14.405665, 12.430376); node id: 4
Cell: [13] (61.51356, 13.454529, 48.131336); node id: 5
Cell: [14] (68.42289, 18.82203, 28.612202); node id: 6
Cell: [15] (83.009964, 13.884861, 54.95175); node id: 7
Cell: [16] (18.136765, 10.742408, 55.19544); node id: 0
Cell: [17] (35.66445, 18.75852, 48.096336); node id: 1
Cell: [18] (25.719023, 17.9879, 83.70646); node id: 2
Cell: [19] (53.650326, 13.497681, 19.075745); node id: 3
Cell: [20] (87.55173, 14.354607, 56.26152); node id: 4
Cell: [21] (14.689702, 15.60837, 11.69526); node id: 5
Cell: [22] (24.2778, 18.028751, 75.40227); node id: 6
Cell: [23] (12.51722, 12.54575, 47.86826); node id: 7
Cell: [24] (84.8368, 14.450721, 50.46176); node id: 0
Cell: [25] (72.46239, 16.721739, 82.21744); node id: 1
Cell: [26] (86.77737, 15.089681, 61.286312); node id: 2
Cell: [27] (13.055462, 16.922451, 53.800617); node id: 3
Cell: [28] (42.908966, 16.565794, 45.795242); node id: 4
Cell: [29] (66.66812, 17.366163, 52.687996); node id: 5
Cell: [30] (70.55407, 13.066805, 45.80447); node id: 6
Cell: [31] (24.631584, 18.641068, 22.735817); node id: 7
Cell: [32] (54.928356, 18.808245, 67.15081); node id: 0
Cell: [33] (64.67715, 12.070421, 17.203163); node id: 1
Cell: [34] (21.402132, 11.826337, 79.697334); node id: 2
Cell: [35] (67.95202, 10.086843, 32.99957); node id: 3
Cell: [36] (47.173874, 11.025651, 39.189445); node id: 4
Cell: [37] (79.51746, 17.28547, 11.823046); node id: 5
Cell: [38] (10.800182, 17.685879, 71.92839); node id: 6
Cell: [39] (74.33616, 18.35932, 87.50177); node id: 7
Cell: [40] (63.77552, 19.332136, 59.556824); node id: 0
Cell: [41] (16.588556, 15.557577, 14.146126); node id: 1
Cell: [42] (47.367943, 17.316235, 83.79486); node id: 2
Cell: [43] (31.393456, 17.395061, 37.576748); node id: 3
Cell: [44] (71.07857, 10.867477, 86.986946); node id: 4
Cell: [45] (56.57977, 10.265712, 50.525833); node id: 5
Cell: [46] (32.03998, 17.863583, 66.95137); node id: 6
Cell: [47] (78.67806, 19.595877, 63.68348); node id: 7
Cell: [48] (24.310547, 17.857666, 27.16248); node id: 0
Cell: [49] (31.822514, 13.036564, 85.0824); node id: 1
Cell: [50] (50.663006, 13.67199, 34.66942); node id: 2
Cell: [51] (64.466095, 15.586068, 78.615425); node id: 3
Cell: [52] (27.850597, 17.019665, 10.814381); node id: 4
Cell: [53] (25.464487, 11.43303, 12.02072); node id: 5
Cell: [54] (82.54276, 18.915432, 21.509153); node id: 6
Cell: [55] (37.144043, 16.164688, 56.247284); node id: 7
Cell: [56] (27.042168, 15.098932, 24.067968); node id: 0
Cell: [57] (18.878138, 12.182064, 58.377583); node id: 1
Cell: [58] (85.762474, 10.7194195, 11.397022); node id: 2
Cell: [59] (72.52816, 12.674895, 62.84986); node id: 3
Cell: [60] (68.69322, 12.564143, 10.717052); node id: 4
Cell: [61] (87.963776, 18.014416, 66.418335); node id: 5
Cell: [62] (63.725227, 12.128036, 61.845295); node id: 6
Cell: [63] (14.514553, 19.829948, 73.05982); node id: 7
Cell: [64] (88.03924, 13.238783, 51.668312); node id: 0
Cell: [65] (16.911257, 10.53887, 32.506447); node id: 1
Cell: [66] (61.582207, 12.516707, 61.44815); node id: 2
Cell: [67] (34.027134, 15.797156, 60.266644); node id: 3
Cell: [68] (62.177055, 16.787178, 52.47095); node id: 4
Cell: [69] (20.115477, 17.873589, 35.99974); node id: 5
Cell: [70] (27.691769, 12.56408, 66.76313); node id: 6
Cell: [71] (69.42262, 10.079507, 81.935715); node id: 7
Cell: [72] (30.032772, 15.418478, 23.340761); node id: 0
Cell: [73] (38.144527, 17.080036, 87.17337); node id: 1
Cell: [74] (79.106834, 10.284605, 38.786186); node id: 2
Cell: [75] (89.02663, 17.02805, 38.580425); node id: 3
Cell: [76] (26.98682, 16.254805, 66.2096); node id: 4
Cell: [77] (48.78929, 15.1518755, 19.286764); node id: 5
Cell: [78] (75.31888, 12.980459, 12.152153); node id: 6
Cell: [79] (14.1118765, 11.124761, 74.099915); node id: 7
Cell: [80] (27.498745, 11.536283, 36.66509); node id: 0
Cell: [81] (76.198074, 17.705627, 48.125694); node id: 1
Cell: [82] (19.779062, 19.2646, 33.179863); node id: 2
Cell: [83] (11.806309, 10.789527, 58.829784); node id: 3
Cell: [84] (79.99141, 12.985826, 80.52836); node id: 4
Cell: [85] (27.480906, 10.612967, 54.11627); node id: 5
Cell: [86] (42.38692, 12.785519, 77.13853); node id: 6
Cell: [87] (26.492327, 12.398584, 27.424807); node id: 7
Cell: [88] (53.047955, 13.203292, 36.42454); node id: 0
Cell: [89] (51.36722, 18.629124, 70.575905); node id: 1
Cell: [90] (87.94077, 14.532627, 44.655956); node id: 2
Cell: [91] (12.260109, 14.790598, 63.656933); node id: 3
Cell: [92] (40.406067, 10.301211, 66.61079); node id: 4
Cell: [93] (65.78362, 13.164307, 21.543825); node id: 5
Cell: [94] (58.02752, 18.904558, 59.681976); node id: 6
Cell: [95] (65.069244, 14.774231, 17.901957); node id: 7
Cell: [96] (89.00382, 19.00084, 67.59043); node id: 0
Cell: [97] (37.18142, 15.621613, 31.750727); node id: 1
Cell: [98] (32.549255, 17.49135, 60.87281); node id: 2
Cell: [99] (74.41711, 18.610657, 24.30795); node id: 3
CGFi5e:
Cell: [0] (786.9934, 476.2035, 754.8892); node id: 0
Cell: [1] (246.70126, 488.2427, 117.567764); node id: 1
Cell: [2] (384.8824, 466.4577, 424.97516); node id: 2
Cell: [3] (233.66837, 464.23724, 417.0819); node id: 3
Cell: [4] (431.62463, 478.177, -42.604965); node id: 4
Cell: [5] (588.0745, 473.0795, 341.41763); node id: 5
Cell: [6] (473.748, 484.91013, 360.2284); node id: 6
