SampleIClamp:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 0, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 14, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 15, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 16, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 17, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 18, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 19, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 20, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 21, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 22, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 23, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 24, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 25, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 26, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 27, segmentId: 0, fractionAlong: 0.5]
